GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUUDE001,AUUDE002,AUUDE003,NAME_M,AUUDM001,AUUDM002,AUUDM003
"G48012100201333","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020133","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201333",,,"481210201333","Block Group 3, Census Tract 201.33, Denton County, Texas",501,501,0,"Block Group 3, Census Tract 201.33, Denton County, Texas",200,200,15
"G48012100201341","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020134","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201341",,,"481210201341","Block Group 1, Census Tract 201.34, Denton County, Texas",1005,1005,0,"Block Group 1, Census Tract 201.34, Denton County, Texas",489,489,15
"G48012100201342","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020134","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201342",,,"481210201342","Block Group 2, Census Tract 201.34, Denton County, Texas",1607,1607,0,"Block Group 2, Census Tract 201.34, Denton County, Texas",225,225,15
"G48012100201351","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020135","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201351",,,"481210201351","Block Group 1, Census Tract 201.35, Denton County, Texas",1113,1010,103,"Block Group 1, Census Tract 201.35, Denton County, Texas",315,319,91
"G48012100201352","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020135","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201352",,,"481210201352","Block Group 2, Census Tract 201.35, Denton County, Texas",423,387,36,"Block Group 2, Census Tract 201.35, Denton County, Texas",212,216,61
"G48012100201353","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020135","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201353",,,"481210201353","Block Group 3, Census Tract 201.35, Denton County, Texas",1080,1062,18,"Block Group 3, Census Tract 201.35, Denton County, Texas",258,257,58
"G48012100201361","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020136","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201361",,,"481210201361","Block Group 1, Census Tract 201.36, Denton County, Texas",600,581,19,"Block Group 1, Census Tract 201.36, Denton County, Texas",162,169,30
"G48012100201362","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020136","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201362",,,"481210201362","Block Group 2, Census Tract 201.36, Denton County, Texas",894,894,0,"Block Group 2, Census Tract 201.36, Denton County, Texas",173,173,15
"G48012100201371","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020137","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201371",,,"481210201371","Block Group 1, Census Tract 201.37, Denton County, Texas",380,380,0,"Block Group 1, Census Tract 201.37, Denton County, Texas",148,148,15
"G48012100201372","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020137","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210201372",,,"481210201372","Block Group 2, Census Tract 201.37, Denton County, Texas",679,666,13,"Block Group 2, Census Tract 201.37, Denton County, Texas",141,142,22
"G48012100202031","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020203","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202031",,,"481210202031","Block Group 1, Census Tract 202.03, Denton County, Texas",1072,1049,23,"Block Group 1, Census Tract 202.03, Denton County, Texas",244,229,44
"G48012100202032","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020203","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202032",,,"481210202032","Block Group 2, Census Tract 202.03, Denton County, Texas",563,510,53,"Block Group 2, Census Tract 202.03, Denton County, Texas",209,183,62
"G48012100202033","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020203","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202033",,,"481210202033","Block Group 3, Census Tract 202.03, Denton County, Texas",991,899,92,"Block Group 3, Census Tract 202.03, Denton County, Texas",248,215,129
"G48012100202041","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020204","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202041",,,"481210202041","Block Group 1, Census Tract 202.04, Denton County, Texas",1152,1125,27,"Block Group 1, Census Tract 202.04, Denton County, Texas",221,214,43
"G48012100202042","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020204","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202042",,,"481210202042","Block Group 2, Census Tract 202.04, Denton County, Texas",828,787,41,"Block Group 2, Census Tract 202.04, Denton County, Texas",294,281,67
"G48012100202043","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020204","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202043",,,"481210202043","Block Group 3, Census Tract 202.04, Denton County, Texas",675,664,11,"Block Group 3, Census Tract 202.04, Denton County, Texas",252,250,19
"G48012100202051","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020205","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202051",,,"481210202051","Block Group 1, Census Tract 202.05, Denton County, Texas",513,513,0,"Block Group 1, Census Tract 202.05, Denton County, Texas",116,116,15
"G48012100202052","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020205","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202052",,,"481210202052","Block Group 2, Census Tract 202.05, Denton County, Texas",300,300,0,"Block Group 2, Census Tract 202.05, Denton County, Texas",93,93,15
"G48012100202061","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020206","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202061",,,"481210202061","Block Group 1, Census Tract 202.06, Denton County, Texas",472,451,21,"Block Group 1, Census Tract 202.06, Denton County, Texas",97,97,33
"G48012100202062","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020206","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202062",,,"481210202062","Block Group 2, Census Tract 202.06, Denton County, Texas",888,852,36,"Block Group 2, Census Tract 202.06, Denton County, Texas",140,137,57
"G48012100202071","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020207","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202071",,,"481210202071","Block Group 1, Census Tract 202.07, Denton County, Texas",759,759,0,"Block Group 1, Census Tract 202.07, Denton County, Texas",159,159,15
"G48012100202072","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020207","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202072",,,"481210202072","Block Group 2, Census Tract 202.07, Denton County, Texas",571,542,29,"Block Group 2, Census Tract 202.07, Denton County, Texas",124,123,45
"G48012100202081","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020208","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202081",,,"481210202081","Block Group 1, Census Tract 202.08, Denton County, Texas",641,641,0,"Block Group 1, Census Tract 202.08, Denton County, Texas",136,136,15
"G48012100202082","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020208","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210202082",,,"481210202082","Block Group 2, Census Tract 202.08, Denton County, Texas",605,563,42,"Block Group 2, Census Tract 202.08, Denton County, Texas",158,157,41
"G48012100203051","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020305","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203051",,,"481210203051","Block Group 1, Census Tract 203.05, Denton County, Texas",928,874,54,"Block Group 1, Census Tract 203.05, Denton County, Texas",162,165,83
"G48012100203052","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020305","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203052",,,"481210203052","Block Group 2, Census Tract 203.05, Denton County, Texas",417,417,0,"Block Group 2, Census Tract 203.05, Denton County, Texas",133,133,15
"G48012100203053","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020305","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203053",,,"481210203053","Block Group 3, Census Tract 203.05, Denton County, Texas",705,649,56,"Block Group 3, Census Tract 203.05, Denton County, Texas",152,123,75
"G48012100203054","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020305","4",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203054",,,"481210203054","Block Group 4, Census Tract 203.05, Denton County, Texas",714,689,25,"Block Group 4, Census Tract 203.05, Denton County, Texas",155,158,39
"G48012100203101","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020310","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203101",,,"481210203101","Block Group 1, Census Tract 203.10, Denton County, Texas",898,842,56,"Block Group 1, Census Tract 203.10, Denton County, Texas",176,134,92
"G48012100203102","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020310","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203102",,,"481210203102","Block Group 2, Census Tract 203.10, Denton County, Texas",892,892,0,"Block Group 2, Census Tract 203.10, Denton County, Texas",156,156,15
"G48012100203103","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020310","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203103",,,"481210203103","Block Group 3, Census Tract 203.10, Denton County, Texas",1026,930,96,"Block Group 3, Census Tract 203.10, Denton County, Texas",177,163,151
"G48012100203111","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020311","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203111",,,"481210203111","Block Group 1, Census Tract 203.11, Denton County, Texas",661,661,0,"Block Group 1, Census Tract 203.11, Denton County, Texas",266,266,15
"G48012100203112","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020311","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203112",,,"481210203112","Block Group 2, Census Tract 203.11, Denton County, Texas",962,816,146,"Block Group 2, Census Tract 203.11, Denton County, Texas",310,250,214
"G48012100203113","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020311","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203113",,,"481210203113","Block Group 3, Census Tract 203.11, Denton County, Texas",641,563,78,"Block Group 3, Census Tract 203.11, Denton County, Texas",237,214,81
"G48012100203121","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020312","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203121",,,"481210203121","Block Group 1, Census Tract 203.12, Denton County, Texas",1204,1173,31,"Block Group 1, Census Tract 203.12, Denton County, Texas",249,254,51
"G48012100203122","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020312","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203122",,,"481210203122","Block Group 2, Census Tract 203.12, Denton County, Texas",845,845,0,"Block Group 2, Census Tract 203.12, Denton County, Texas",191,191,15
"G48012100203123","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020312","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203123",,,"481210203123","Block Group 3, Census Tract 203.12, Denton County, Texas",559,559,0,"Block Group 3, Census Tract 203.12, Denton County, Texas",131,131,15
"G48012100203131","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020313","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203131",,,"481210203131","Block Group 1, Census Tract 203.13, Denton County, Texas",830,817,13,"Block Group 1, Census Tract 203.13, Denton County, Texas",188,188,20
"G48012100203132","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020313","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203132",,,"481210203132","Block Group 2, Census Tract 203.13, Denton County, Texas",904,808,96,"Block Group 2, Census Tract 203.13, Denton County, Texas",156,144,97
"G48012100203133","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020313","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203133",,,"481210203133","Block Group 3, Census Tract 203.13, Denton County, Texas",390,317,73,"Block Group 3, Census Tract 203.13, Denton County, Texas",136,80,105
"G48012100203141","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020314","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203141",,,"481210203141","Block Group 1, Census Tract 203.14, Denton County, Texas",1747,1747,0,"Block Group 1, Census Tract 203.14, Denton County, Texas",295,295,21
"G48012100203142","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020314","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203142",,,"481210203142","Block Group 2, Census Tract 203.14, Denton County, Texas",1115,1115,0,"Block Group 2, Census Tract 203.14, Denton County, Texas",274,274,15
"G48012100203143","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020314","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203143",,,"481210203143","Block Group 3, Census Tract 203.14, Denton County, Texas",1100,1090,10,"Block Group 3, Census Tract 203.14, Denton County, Texas",295,294,18
"G48012100203144","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020314","4",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203144",,,"481210203144","Block Group 4, Census Tract 203.14, Denton County, Texas",1275,1275,0,"Block Group 4, Census Tract 203.14, Denton County, Texas",271,271,15
"G48012100203151","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020315","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203151",,,"481210203151","Block Group 1, Census Tract 203.15, Denton County, Texas",759,730,29,"Block Group 1, Census Tract 203.15, Denton County, Texas",208,205,31
"G48012100203152","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020315","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203152",,,"481210203152","Block Group 2, Census Tract 203.15, Denton County, Texas",766,737,29,"Block Group 2, Census Tract 203.15, Denton County, Texas",177,189,33
"G48012100203161","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020316","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203161",,,"481210203161","Block Group 1, Census Tract 203.16, Denton County, Texas",690,661,29,"Block Group 1, Census Tract 203.16, Denton County, Texas",161,167,31
"G48012100203162","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020316","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203162",,,"481210203162","Block Group 2, Census Tract 203.16, Denton County, Texas",608,608,0,"Block Group 2, Census Tract 203.16, Denton County, Texas",274,274,15
"G48012100203171","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020317","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203171",,,"481210203171","Block Group 1, Census Tract 203.17, Denton County, Texas",448,448,0,"Block Group 1, Census Tract 203.17, Denton County, Texas",151,151,15
"G48012100203172","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020317","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203172",,,"481210203172","Block Group 2, Census Tract 203.17, Denton County, Texas",947,947,0,"Block Group 2, Census Tract 203.17, Denton County, Texas",160,160,15
"G48012100203173","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020317","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203173",,,"481210203173","Block Group 3, Census Tract 203.17, Denton County, Texas",789,789,0,"Block Group 3, Census Tract 203.17, Denton County, Texas",162,162,15
"G48012100203181","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020318","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203181",,,"481210203181","Block Group 1, Census Tract 203.18, Denton County, Texas",777,693,84,"Block Group 1, Census Tract 203.18, Denton County, Texas",197,171,96
"G48012100203182","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020318","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203182",,,"481210203182","Block Group 2, Census Tract 203.18, Denton County, Texas",909,900,9,"Block Group 2, Census Tract 203.18, Denton County, Texas",200,200,15
"G48012100203183","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020318","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203183",,,"481210203183","Block Group 3, Census Tract 203.18, Denton County, Texas",643,570,73,"Block Group 3, Census Tract 203.18, Denton County, Texas",263,236,112
"G48012100203191","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020319","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203191",,,"481210203191","Block Group 1, Census Tract 203.19, Denton County, Texas",892,774,118,"Block Group 1, Census Tract 203.19, Denton County, Texas",235,196,127
"G48012100203192","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020319","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203192",,,"481210203192","Block Group 2, Census Tract 203.19, Denton County, Texas",564,564,0,"Block Group 2, Census Tract 203.19, Denton County, Texas",155,155,15
"G48012100203193","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020319","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203193",,,"481210203193","Block Group 3, Census Tract 203.19, Denton County, Texas",1211,1017,194,"Block Group 3, Census Tract 203.19, Denton County, Texas",241,234,123
"G48012100203201","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020320","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203201",,,"481210203201","Block Group 1, Census Tract 203.20, Denton County, Texas",670,670,0,"Block Group 1, Census Tract 203.20, Denton County, Texas",187,187,15
"G48012100203202","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020320","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203202",,,"481210203202","Block Group 2, Census Tract 203.20, Denton County, Texas",298,298,0,"Block Group 2, Census Tract 203.20, Denton County, Texas",158,158,15
"G48012100203203","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020320","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203203",,,"481210203203","Block Group 3, Census Tract 203.20, Denton County, Texas",458,458,0,"Block Group 3, Census Tract 203.20, Denton County, Texas",164,164,15
"G48012100203204","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020320","4",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203204",,,"481210203204","Block Group 4, Census Tract 203.20, Denton County, Texas",359,359,0,"Block Group 4, Census Tract 203.20, Denton County, Texas",105,105,15
"G48012100203205","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020320","5",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203205",,,"481210203205","Block Group 5, Census Tract 203.20, Denton County, Texas",775,775,0,"Block Group 5, Census Tract 203.20, Denton County, Texas",227,227,15
"G48012100203206","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020320","6",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203206",,,"481210203206","Block Group 6, Census Tract 203.20, Denton County, Texas",0,0,0,"Block Group 6, Census Tract 203.20, Denton County, Texas",15,15,15
"G48012100203207","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020320","7",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203207",,,"481210203207","Block Group 7, Census Tract 203.20, Denton County, Texas",1484,1484,0,"Block Group 7, Census Tract 203.20, Denton County, Texas",293,293,21
"G48012100203211","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020321","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203211",,,"481210203211","Block Group 1, Census Tract 203.21, Denton County, Texas",848,848,0,"Block Group 1, Census Tract 203.21, Denton County, Texas",191,191,15
"G48012100203212","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020321","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203212",,,"481210203212","Block Group 2, Census Tract 203.21, Denton County, Texas",297,297,0,"Block Group 2, Census Tract 203.21, Denton County, Texas",98,98,15
"G48012100203213","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020321","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203213",,,"481210203213","Block Group 3, Census Tract 203.21, Denton County, Texas",907,907,0,"Block Group 3, Census Tract 203.21, Denton County, Texas",180,180,15
"G48012100203221","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020322","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203221",,,"481210203221","Block Group 1, Census Tract 203.22, Denton County, Texas",704,664,40,"Block Group 1, Census Tract 203.22, Denton County, Texas",161,171,56
"G48012100203222","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020322","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203222",,,"481210203222","Block Group 2, Census Tract 203.22, Denton County, Texas",762,762,0,"Block Group 2, Census Tract 203.22, Denton County, Texas",299,299,15
"G48012100203223","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020322","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203223",,,"481210203223","Block Group 3, Census Tract 203.22, Denton County, Texas",408,408,0,"Block Group 3, Census Tract 203.22, Denton County, Texas",156,156,15
"G48012100203224","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020322","4",,,,,,,,,,,,,,,,,,,,,,"1500000US481210203224",,,"481210203224","Block Group 4, Census Tract 203.22, Denton County, Texas",1188,1188,0,"Block Group 4, Census Tract 203.22, Denton County, Texas",246,246,15
"G48012100204021","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020402","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204021",,,"481210204021","Block Group 1, Census Tract 204.02, Denton County, Texas",1071,1071,0,"Block Group 1, Census Tract 204.02, Denton County, Texas",253,253,15
"G48012100204022","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020402","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204022",,,"481210204022","Block Group 2, Census Tract 204.02, Denton County, Texas",732,670,62,"Block Group 2, Census Tract 204.02, Denton County, Texas",185,169,102
"G48012100204023","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020402","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204023",,,"481210204023","Block Group 3, Census Tract 204.02, Denton County, Texas",1595,1570,25,"Block Group 3, Census Tract 204.02, Denton County, Texas",425,425,40
"G48012100204031","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020403","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204031",,,"481210204031","Block Group 1, Census Tract 204.03, Denton County, Texas",661,585,76,"Block Group 1, Census Tract 204.03, Denton County, Texas",140,134,88
"G48012100204032","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020403","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204032",,,"481210204032","Block Group 2, Census Tract 204.03, Denton County, Texas",514,508,6,"Block Group 2, Census Tract 204.03, Denton County, Texas",98,98,10
"G48012100204033","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020403","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204033",,,"481210204033","Block Group 3, Census Tract 204.03, Denton County, Texas",788,744,44,"Block Group 3, Census Tract 204.03, Denton County, Texas",170,169,57
"G48012100204041","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020404","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204041",,,"481210204041","Block Group 1, Census Tract 204.04, Denton County, Texas",1044,1004,40,"Block Group 1, Census Tract 204.04, Denton County, Texas",243,241,72
"G48012100204042","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020404","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204042",,,"481210204042","Block Group 2, Census Tract 204.04, Denton County, Texas",1293,1276,17,"Block Group 2, Census Tract 204.04, Denton County, Texas",243,243,27
"G48012100204051","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020405","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204051",,,"481210204051","Block Group 1, Census Tract 204.05, Denton County, Texas",867,821,46,"Block Group 1, Census Tract 204.05, Denton County, Texas",208,209,62
"G48012100204052","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020405","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210204052",,,"481210204052","Block Group 2, Census Tract 204.05, Denton County, Texas",813,783,30,"Block Group 2, Census Tract 204.05, Denton County, Texas",171,159,37
"G48012100205041","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020504","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205041",,,"481210205041","Block Group 1, Census Tract 205.04, Denton County, Texas",843,821,22,"Block Group 1, Census Tract 205.04, Denton County, Texas",130,133,38
"G48012100205042","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020504","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205042",,,"481210205042","Block Group 2, Census Tract 205.04, Denton County, Texas",910,843,67,"Block Group 2, Census Tract 205.04, Denton County, Texas",220,208,74
"G48012100205051","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020505","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205051",,,"481210205051","Block Group 1, Census Tract 205.05, Denton County, Texas",766,766,0,"Block Group 1, Census Tract 205.05, Denton County, Texas",397,397,15
"G48012100205052","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020505","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205052",,,"481210205052","Block Group 2, Census Tract 205.05, Denton County, Texas",620,620,0,"Block Group 2, Census Tract 205.05, Denton County, Texas",216,216,15
"G48012100205053","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020505","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205053",,,"481210205053","Block Group 3, Census Tract 205.05, Denton County, Texas",779,779,0,"Block Group 3, Census Tract 205.05, Denton County, Texas",324,324,15
"G48012100205054","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020505","4",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205054",,,"481210205054","Block Group 4, Census Tract 205.05, Denton County, Texas",420,338,82,"Block Group 4, Census Tract 205.05, Denton County, Texas",155,115,129
"G48012100205055","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020505","5",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205055",,,"481210205055","Block Group 5, Census Tract 205.05, Denton County, Texas",306,306,0,"Block Group 5, Census Tract 205.05, Denton County, Texas",87,87,15
"G48012100205056","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020505","6",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205056",,,"481210205056","Block Group 6, Census Tract 205.05, Denton County, Texas",501,436,65,"Block Group 6, Census Tract 205.05, Denton County, Texas",130,111,99
"G48012100205061","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020506","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205061",,,"481210205061","Block Group 1, Census Tract 205.06, Denton County, Texas",326,292,34,"Block Group 1, Census Tract 205.06, Denton County, Texas",85,82,40
"G48012100205062","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020506","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205062",,,"481210205062","Block Group 2, Census Tract 205.06, Denton County, Texas",405,355,50,"Block Group 2, Census Tract 205.06, Denton County, Texas",122,76,91
"G48012100205071","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020507","1",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205071",,,"481210205071","Block Group 1, Census Tract 205.07, Denton County, Texas",614,561,53,"Block Group 1, Census Tract 205.07, Denton County, Texas",175,178,79
"G48012100205072","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020507","2",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205072",,,"481210205072","Block Group 2, Census Tract 205.07, Denton County, Texas",394,362,32,"Block Group 2, Census Tract 205.07, Denton County, Texas",112,108,51
"G48012100205073","2020-2024","TX",,,"Texas","48","Denton County","121",,,"020507","3",,,,,,,,,,,,,,,,,,,,,,"1500000US481210205073",,,"481210205073","Block Group 3, Census Tract 205.07, Denton County, Texas",438,399,39,"Block Group 3, Census Tract 205.07, Denton County, Texas",100,100,37
